0	1
kløfter	tindekrans
strikke	vrenges
plett	grunn
sol	stenkoloss
inn	skogpaulun
makt	tvinger
kilde	år
ry	kroner
siden	rett
favn	si
forstå	menn
stad	skikke
higen	stunden
klar	skje
brente	dom
dale	ny
minne	natt
kanal	forlatte
spredt	bud
øyne	verd
liv	fortapte
ung	sjel
sjel	grus
brann	år
tinder	sønn
sturen	opp
bringer	ro
båret	bygge
betreder	skuer
navn	ripen
brus	evighet
gudeborgen	krone
salme	buer
går	vindusglasset
drømme	lang
fjord	lake
svenner	side
syn	drøm
sinn	brist
regnet	flukt
sved	nu
bryn	krans
visen	slanger
eie	tindrer
fra	bekjenner
været	skjær
hugge	strand
trede	tilje
dal	skarer
ragg	dommedagen
veggen	bliv
bilde	ånd
frem	skjær
kryp	leire
vest	bispestav
bånd	søstersønn
ber	finne
se	stor
besatt	stillhet
skrud	år
trøst	ned
fot	krav
glad	strenge
dør	varetekt
fugleskrik	fatt
herre	fremme
klang	hørte
gav	viet
ran	våker
sild	røre
ed	hu
dom	intense
bølgebrus	sang
dvele	drikk
øde	ve
hviler	tanker
annet	betryggelse
slutt	galer
tilsinns	hjem
vek	døden
kime	fryd
tro	brynde
enger	båser
fjell	veie
kue	kort
matt	slukkes
legedom	bære
rett	anger
sinn	mål
gull	drager
dyp	ende
bud	vunnet
på	tilsinns
grunn	Aten
være	dikter
venn	kjært
orm	spor
nord	Sarpen
hvordan	blinket
lanse	fordunkler
full	tofte
munn	se
sangen	bok
ferde	blad
ryster	alt
kjær	røttene
kulde	is
fløy	Reine
underlagt	forvisst
gå	tegn
tro	bygger
Soldaten	solskinnsglans
land	nøden
farver	vind
kveger	prakt
skapt	vet
villhet	tenke
bunn	går
føre	stemmer
forsvunnet	stilles
il	forakter
mann	mare
hus	ender
spent	ledebånd
noe	vet
forskrekket	by
bratt	forskrekket
brenner	kveld
sang	id
fred	rykter
hest	bur
fengsler	drives
grave	kommer
brann	brøde
grøde	full
syd	hutrer
skjold	glemmer
fjord	våg
fiendesverd	lenger
gårn	se
tvinger	sønderskutt
forstå	bakker
rekke	Rom
vold	strøm
herfra	grønn
slett	akt
kneet	fjord
er	fugler
yrer	ifjor
drakt	hynder
fugl	blunder
stjerne	sommerdag
SANG	Røst
strime	borg
verdensdommen	døden
forlatt	ned
svar	kne
bord	bort
rinner	tider
gjemmer	garn
runger	havner
havn	forsoner
stemme	jord
min	der
trang	frihets-pakten
gårn	svolk
skarer	enser
skrevet	salighet
blest	rygg
to	lærte
fjær	ly
ord	himlen
finne	skjær
verd	lyst
betagne	lagt
iblandt	kongeveier
øye	røst
herde	skjold
sekunder	skuer
kvede	før
hildes	ord
strøm	nuet
kyst	bukt
klirrer	sving
tre	følger
lyst	skrekk
skamme	tror
ned	gjeldte
makten	høre
vandring	sikker
putrer	tak
syden	dit
ende	tukt
sand	kjenne
finne	alle
vest	struper
mot	verge
hall	stor
mål	velte
klippehanget	hus
klynken	nød
varmer	grønn
alt	vinning
hånd	rad
slakte	egne
beklemt	hest
bror	øde
betvinger	mindre
kullstøvskyen	land
stunder	forlatt
varme	behag
bølgebrus	blå
strand	flid
mot	hende
morgen	toneveld
fil	teften
gjemme	sted
østavinden	titt
trygt	grøden
sang	ånd
syd	årer
strengeleik	fat
kval	skritt
gråstensgrav	inn
hunger	dø
kvinner	betynget
brast	vrede
alter	hud
slag	gro
hånd	lille
der	korn
lys	sanger
glider	fall
korsfester	vé
bad	elde
kvad	toneveld
kjempen	blod
forening	dør
bakt	kjøkemester
fornøden	dølger
tilstede	ve
behag	skjule
sommerkveld	daler
hær	bevet
vel	sande
floder	murer
måneskinnet	fred
fri	flyr
land	blinket
domme	pris
såret	kompaniet
følgesvenn	finne
skjul	kavet
tykke	gråt
ord	troner
Ravn	rand
skje	fryse
danserinner	snakk
lakeien	bud
mur	munn
hus	inn
borg	ny
rid	sveket
strider	stål
vann	luner
pjalter	ånd
vil	brede
krone	dem
forsann	hender
være	svikter
torv	skjå
streder	frukt
hjemme	ved
strålespeil	glass
bra	bruk
dem	fjell
forvisst	have
kyst	døden
favn	visste
melet	mest
tok	sveder
maten	by
ny	biler
egge	seg
åpenbar	tro
beveget	volder
beste	til
stekte	lang
skrifter	bygger
hen	tåkeluft
full	larm
når	trakter
stirret	bort
tid	bruste
lenker	gry
hvelv	gru
sed	aftenlande
drakt	bolig
huser	fødes
nok	fly
vekten	gis
vårn	se
din	bar
god	støttestav
sang	hører
skjæret	morgen
skinn	prise
stor	smil
krusifiks	omkring
bever	runger
utrolig	selv
flat	duk
hang	vandringsmann
forlatt	vandringsmann
sne	vær
eng	brenner
imøde	bar
rundt	på
tilsinns	dere
eksesser	skosen
faller	furer
demper	ny
far	få
pakt	glans
dunst	våt
gjeld	brist
fjell	skjelver
preker	gave
vårn	svolk
her	holdt
svermet	dugg
luke	sten
Halden	kart
tappenstrek	banken
først	makt
le	vi
fjell	sus
lyse	lykke
gru	den
smile	dunster
rickshawhjul	struper
støvet	hånd
huler	dag
farten	bør
tøyler	ånd
svar	rinner
herved	gull
rider	forbi
gåde	forme
spiller	sider
spinn	ømme
pleie	menn
bindes	bur
frelsesarméen	herre
båren	rik
grave	lå
dølge	Mester
lag	le
rører	stillhet
sfære	konflikter
bøde	stund
straks	rette
øm	mor
kryp	tale
by	strøk
skam	bragt
lund	gjøk
venn	svinner
malet	nei
fortoner	ene
mening	humør
hedret	bryst
fossefallet	går
fred	kiste
kjenner	stund
sten	favn
drikke	ve
kompani	resten
gang	faller
aner	skift
nær	officer
land	svikte
før	stene
strenger	smerte
venn	offerild
stort	til
skapermann	lit
ord	Jovisst
skarlagen	vemodsfull
sus	lagt
mer	drag
fjær	slag
land	muld
dunkle	straks
tømmer	vann
pris	rinner
land	kaller
stundet	ry
ned	lammet
lag	bord
ei	tvinge
svinner	panne
vind	skue
hei	sinn
evne	det
båret	prise
savn	farer
strømmer	dirrer
frisk	bu
grav	ånd
hård	var
hjem	skjær
skal	bind
fattigkassen	gatedyp
evne	stål
fører	tro
krasst	vrede
sand	glød
gjemme	landet
svant	hvile
forstå	der
sanne	lunken
hest	bringen
råde	ord
Hør	stor
svar	opp
gikk	så
iblandt	lamper
halen	lund
gråstensgrav	sagt
fløyne	jord
amaranter	hever
kulde	der
gull	mor
sønn	stund
dekket	hit
hjul	blunder
kvalme	stedse
flykter	byde
offerild	pjalter
morgengry	drømte
hus	leie
sa	goddag
fjell	høye
torsk	melet
gjest	soldater
hvile	bygge
fatt	bolle
jekt	dørken
tid	gevær
slekt	bånd
kai	fisk
strømmer	alarm
båt	land
brenner	rand
skapen	drøye
kjøkkengang	zinken
går	tilje
brøde	munn
skinn	ham
verden	støttestav
elt	land
kompani	blod
ende	strå
mål	bøyer
søker	forbannet
Regine	agn
raver	strand
takten	undre
land	dem
minner	fest
menn	skikke
lang	klut
kry	serker
palme	luer
tjønn	stor
koloni	resten
jetter	gården
slukkes	hørte
nær	lyd
rygger	fri
ord	suse
Rei	fisker
luer	dagen
minne	fri
sten	opp
grisen	slanger
munn	tolket
grand	sale
nåde	stund
nytte	skygge
kyst	glans
hånd	folke-esse
to	fløytespill
navn	lide
troner	hvelv
så	bord
god	ringe
kalle	is
hu	hånd
brøde	grav
seil	vover
sør	bød
inn	vilje
bestemor	dynker
barn	skjer
dom	rense
dale	vilde
salmen	kor
hender	land
stille	brist
brann	Judea
kue	mild
ham	venner
steder	dra
føk	dem
navn	hvelv
han	titt
kroner	hav
hjeller	gå
nord	løfter
lommen	nord
omkring	natur
finger	arm
luet	inne
gress	gror
tanker	araber
bever	steile
velde	øde
platå	dette
true	skal
statsforfatning	tidsfordriv
