word_a	word_b	rhyme
svinger	betvinger	1
gret	ned	1
sne	bred	1
lang	fuglesang	1
drøm	svøm	1
dvele	besjele	1
dage	hage	1
dag	tordenslag	1
beskytte	bytte	1
sol	pol	1
nå	slå	1
sol	Hol	1
fjell	stråleveld	1
stampet	trampet	1
mor	Sillejord	1
flukt	bukt	1
plass	morass	1
strand	stand	1
forakt	slakt	1
råd	få	1
mil	hvil	1
toner	kroner	1
sammen	Amen	1
lav	hav	1
vinger	ringer	1
skrevet	sønderrevet	1
gjennomisner	visner	1
vunde	kunde	1
himmelsaler	daler	1
beger	jeger	1
mildt	spilt	1
askebeger	beger	1
gildet	ildet	1
kryste	ryste	1
stunder	under	1
forynger	synger	1
musikk	gikk	1
venner	vender	1
når	går	1
sangere	gangere	1
prise	bevise	1
bevende	levende	1
netter	sletter	1
kvaler	taler	1
sitt	vidt	1
trelle	fjelle	1
bylder	fyller	1
tøys	tilkøys	1
spunne	runde	1
kallet	fossefallet	1
grensepost	frost	1
trolig	urolig	1
blå	så	1
øst	Røst	1
stød	død	1
øret	høre	1
været	være	1
ammevakt	forsagt	1
lansespiss	Akropolis	1
skalle	hodeskalle	1
kølleslag	bedrag	1
grunne	lunde	1
avsted	med	1
iler	biler	1
tider	kvider	1
grå	små	1
konflikter	svikter	1
bør	før	1
hud	bud	1
sekretariatet	prate	1
blinde	inne	1
dans	Sanktehans	1
herskerkrans	glans	1
sporer	morer	1
bilder	hilder	1
skodden	odden	1
prise	vise	1
paddekvekket	gjekket	1
her	vær	1
hindre	lindre	1
forferde	herde	1
hernede	glede	1
benket	senket	1
ny	flammesky	1
snare	spare	1
inn	tind	1
jøss	bøss	1
fugle	hule	1
avsted	bed	1
vekt	trelleslekt	1
gys	lys	1
vandrer	forandrer	1
fare	skare	1
kvalm	benkehalm	1
fri	stri	1
flokk	lokk	1
det	sne	1
kvarter	ser	1
bite	vite	1
gull	kummerfull	1
kues	blues	1
tjene	Ene	1
imøde	døde	1
mor	fjord	1
suste	brudehuset	1
likferdsskrud	Gud	1
tyribrann	stand	1
attentater	kamerater	1
dram	skam	1
mylder	gyller	1
offerdyr	gryr	1
tanke-grunn	munn	1
rummer	kummer	1
dyresteeie	veie	1
rokkelorer	meteorer	1
flate	gate	1
krenker	lenker	1
moderhjerte	smerte	1
feier	veier	1
sine	lavine	1
faner	baner	1
klo	tro	1
kant	spant	1
hei	lei	1
irisskjær	nær	1
sang	strengeklang	1
plog	skog	1
ubestandig	mandig	1
nøler	føler	1
hær	gevær	1
jag	idag	1
nu	flu	1
charmeuse	nervøs	1
menneskestemmer	fornemmer	1
fold	kold	1
vaner	baner	1
trelle	velde	1
alt	kalt	1
forgår	sår	1
deri	fri	1
krans	brudekrans	1
kun	grunn	1
sørger	spørger	1
henne	vende	1
vé	galgetre	1
gjekket	stekket	1
ve	Se	1
drage	dage	1
blod	forstod	1
miner	rabbiner	1
jordskjelvsrysten	kysten	1
havet	kave	1
broer	beboer	1
ås	hås	1
gud	hud	1
kyser	gyser	1
bestemmer	forglemmer	1
slott	drott	1
finner	binder	1
sted	sved	1
mann	iland	1
full	gull	1
buer	druer	1
østenvindskveld	hell	1
vinden	kinden	1
sne	moské	1
står	går	1
menes	forenes	1
måneskinn	skinn	1
stranden	sanden	1
ha	bra	1
dress	tess	1
klynge	synge	1
dugget	vugget	1
endt	vendt	1
ratt	glatt	1
glemte	temte	1
slår	gård	1
lut	ut	1
vekst	tekst	1
lyng	syng	1
fødeby	morgensky	1
bombedrap	fellesskap	1
skarlagen	dragen	1
bakt	prakt	1
kjempegirlandre	vandre	1
må	så	1
gule	Thule	1
vann	rand	1
skyter	bryter	1
svermer	nærmer	1
gjemme	stemme	1
ler	mer	1
hus	tankesus	1
morgenstund	blund	1
tre	be	1
bru	hu	1
bor	ord	1
elveseng	eng	1
sverd	menskeverd	1
dans	brudekrans	1
månelyståken	våken	1
Paradis	vis	1
fot	mot	1
Tor	flor	1
pralen	dalen	1
Nicaragua	bra	1
lenge	lærepenge	1
silde	ille	1
nesten	resten	1
er	hær	1
trakt	sagt	1
spille	stille	1
kjenning	brenning	1
lever	bever	1
kvist	brist	1
glimt	skimt	1
smerte-stønn	bønn	1
tenke	enke	1
vrå	slå	1
krigerby	ly	1
gjeld	trell	1
bar	svar	1
tilbage	adventsdage	1
sti	verdi	1
gror	...	1
forleder	seder	1
skrall	tall	1
tømme	strømme	1
igjen	spenn	1
bånd	ånd	1
ganen	tranen	1
herskermakt	akt	1
sverd	ferd	1
aftenrøden	gløden	1
fordømte	drømte	1
skvett	retrett	1
flydd	lytt	1
silhuetter	sommernetter	1
gjester	mester	1
utrolig	bolig	1
vann	stand	1
ud	brud	1
røvet	øvet	1
egne	vegne	1
glød	mjød	1
prikk	blikk	1
funnet	begrunnet	1
hammer	rammer	1
rast	hast	1
takten	makten	1
glor	bord	1
bevet	svevet	1
øyet	fornøyet	1
ved	sted	1
eng	sammenheng	1
skyskraperbygg	rygg	1
sone	tone	1
solgull-timen	sildestimen	1
viet	befriet	1
enn	venn	1
hveser	freser	1
gatelek	tappenstrek	1
jag	dag	1
munn	grunn	1
hånd	hosebånd	1
seil	strålespeil	1
skille	spille	1
lyne	synet	1
sendt	spent	1
din	...	1
millioner	toner	1
podet	blodet	1
tide	lide	1
menn	tanker	1
beholde	kolde	1
Fortell	kveld	1
have	grave	1
honning	dronning	1
gnis	Moskvais	1
grøden	døden	1
