sent_a	sent_b	rhyme
ja da sommeren stormet min by,	og det glimtet i tårnspir mot sky	1
da fikk dere ingen sang.	Men dere som hører, styrk dens klang;	1
om Anaks sønner, de ville.	her må de sitt blod dog spille.	1
den ene, Jesus Kristus, korsets drott.	til verdens redning under dårers spott.	1
å, men husk dog folkets kår —	ringe akter det Guds gaver,	0
Hele byen stusser, grunder.	Jøder, uten jødens skikke,	0
Knut Labeit forsøkte ei	ingen av hans bryllupsfeller	0
fester i stillhet dolken ved lend.	Da våkner også de verdige menn,	1
må og skal for alltid vike.	Men han må —  hans «kongerike»	1
Å ensomme hjerte, som aldri har veket	aldri har bøyd seg for Bøygen og sveket,	1
bundne i marmor og vente!	aftenbønn bever i ord og i duft.	0
den store bok for alle dem som sveder.	sitt kors på ryggen uten grove ord og eder.	1
men ikke den som daglig magrer a'.	Den fete trenger kanskje puste ja,	1
en herre by bergene opp å danse.	de triller tilbake;  jeg ber dem stanse!	1
et stykke uløst av dens dunkle evne.	den var så sterk at slekt til slekt vil levne	1
i åndens liv ble alle ett i Gud.	I fredens ord, ved livets seiersbud,	1
demre gjennom korsets gåde.	og de ser Guds allmakts nåde	1
Og av åndens sterke stemme drevet	nå jeg farer til Jerusalem.	0
For: månen var kommen, og havet ble til gull	og skyene fjernet seg, og himlen rant full	1
så ser han mot vindusglasset.	for her er det dem som kan passe!	1
just da ferden kom forbi.	langs den samme kirkesti	1
Til deg så, i hvis sanger-vår	går grense-vakt i sangens brus	0
Da åpner mørket sine svelg og munner,	og tidens hjul er stanset om sitt nav...	0
Han har lært den tunge lære	seg og sitt i prøvens ild,	0
et kvad der egoistens stemme runger	det hese uværsskrik fra fjellets ravner,	0
hva neste bringer, vet det ei.	går mennesket på jord sin vei.	1
Din sjel er det minste av alt jeg ser,	Hvis du hadde makt over det som skjer,	1
Dronningens befaling skjer.	Vel er rådets menn å finne	0
fra samfundets kropp? Nå sannes vårt ord,	her blir ikke trygghet, ei helt ut ro	0
høyt over alfarvegens kjør og mynder	at endelig for alvår er det vår.	0
Og som toget fremad skrider,	medens dagen langsomt svinner,	0
kun blinde dårers tidsfordriv —	til Herrens store helligdom.	0
Nå kjenner jeg den dypeste kval: at stå på bunnen;	at tvilen er din styrke, og stormen din vinge,	0
hvis vingefang neppe vil bære.	Vær hilset mitt hjem ved den bølgende fjord,	0
en drøm om min barndoms have	med plener og hekk og hegn	0
Barnabas, den edle gjest,	Hvor han kom, ble fryd og fest.	1
ble skyens teppe splittet att,	fjernt på en klippeskråning ned	0
den åndens karantene man vil sette.	Men det som gir oss høve til å trette	1
har ættens unge fulgt sin opprørstrang	og hatske ord	0
Tre ganger bad han, så er meldt,	Så bad den sterke troens helt.	1
bad ung Magnus og sank i kne,	«Å, la meg ennu en gang få se	1
Gjerne hører de den kjæres røst	dagen ut, ja langt på natten med,	0
Likevel var det en natt at vår sterkeste bror	vandret på jakt under stormenes hylende kor.	1
samles på hans fremtids himmel.	Han må bort fra virkets vrimmel	1
kLiivsalige ord, som så mektig forlener	Den blomstrende kvist av Davids rot.	0
Det er bedre å nemme havets lære:	men du sover når vakten er forbi.	0
Erkjennelse. I voldens tid	da ånd blir drevet med gevær	0
og farer den larmende bygd forbi	da stryker den lavt over eng og sti	1
Imperiet er truet av pøbel og ramp?	Det svarteste England har reist seg til kamp	0
men odelstanken var arbeidets makt	den kjempet seg fri denne tankes kultur	0
