sent_a	sent_b	rhyme
Under Herrens hånd er få blitt mange,	Og for folket er tyrannen bange	1
der henter det sitt preg blant individer.	Men altets lysstrøm over kronen glider	1
ei minnet om svundne år —	til fortidens trengselskår.	1
Den kongstanken skal som hans merkesten stå,	dens runer skal dypt inn i hjertene gå	1
jambred ham, til krig som tinge,	går vi like ratt.	0
du løser på armenes favner.	mens bruket i dypet til storfangst går,	0
Edlestel På åndens tinder	steg du høyest, sterk i hu;	0
hvor stener i havet seg strekker !	så vide som synskretsen rekker !	1
for rettferd og fred for din sønn.	for løfter om laurer og lønn,	1
så tårnkorset løftes i solmettet luft,	Her reiste man kirken igjen på sin tuft	1
mellom meg og miraklet dernede	foran min nakne legg.	0
og ønsket henne lang og gyllen sommer	og gir den glad til hvemsomhelst som kommer.	1
nå vet jeg visst, fra denne stund,	at Herren taler ved din munn.	1
øk det og styrk det	søk det og dyrk det,	1
Kong Achab så i denne stund	at nå fra Herrens munn	1
tindenes konge i ensomhet troner:	Og midt i de tause granittregioner	1
Og er det vel ofte langs fjellene armt	i midtsommerheten da blir her så varmt	1
at Herren taler ved din munn.	Hans tjener er du, vis og sterk;	0
Det faller nå. Og det er også best.	Det var så skjønt det svarte berg i vest.	1
for denne rene lov hver mislyd tier.	er man blitt trygg for livets ironier:	1
så vilt det var.	en fremmed, o så underbar.	1
han for av sted på ski som vind	og slapp den løs på hallens gulv,	0
«Herre! dine tankers dyp	Angstens tåkeslør du sprede.	0
sådan jeg til jordens egne	ofrer.  Jeg er livets brød !	0
Den eldste kvinne i deres flokk	og gav så brudgommen sønnenavnet	0
Når siden du kommer med flere menn,	Så vender han om for å slåss igjen,	1
kun vårens regnsus høres.	og alle tinder sløres;	1
Dengang du bestandig meg fant,	men nå, når jeg sjeldnere går,	0
Og før det rasler i gravens pile	er du til stjernernes fred gått inn!	0
Ebal og Garisim, Jesreels slette,	Tabor og Gilead, Karmels rygg?	0
husets hellighet skal skjendes.	Nå må kvinnen jeg forakte,	0
men er som en luksus i boller !	og gir den en omgang med smør fra din kopp	0
og riktige og støe regnvannsrenner,	som vannet sprang i med så frisk en klang!	0
før med kongen han rekker Jesreels egn.	ei veiens menneskemylder han sanser,	0
hvor krefter, som er stort i gjære,	i tidens munn  ved Herrens hånd.	0
stjal jeg bak en disk,	fire stykker fisk	1
«Min lille pasje, kom nå hit	er stormen full av gru?	0
Snart ser de ham helt, deres øyne brenner,	og bak ham en flokk bevæbnede svenner.	1
